country,year,volume
"Germany, Fed. Republic",2009,1
"Germany, Fed. Republic",2010,NA
"Germany, Fed. Republic",2011,NA
"Germany, Fed. Republic",2012,NA
"Germany, Fed. Republic",2013,NA
"Germany, Fed. Republic",2014,3707
"Germany, Fed. Republic",2015,8404
"Germany, Fed. Republic",2016,10243
"Germany, Fed. Republic",2017,11606
"Germany, Fed. Republic",2018,10733
Denmark,1989,NA
Denmark,1990,277
Denmark,1991,639
Denmark,1992,269
Denmark,1993,1345
Denmark,1994,920
Denmark,1995,830
Denmark,1996,279
Denmark,1997,568
Denmark,1998,1025
Denmark,1999,1462
Denmark,2000,778
Denmark,2001,839
Denmark,2002,105
Denmark,2003,174
Denmark,2004,699
Denmark,2005,566
Denmark,2006,93
Denmark,2007,486
Denmark,2008,173
Denmark,2009,1458
Denmark,2010,3007
Denmark,2011,895
Denmark,2012,7
Denmark,2013,2358
Denmark,2014,2590
Denmark,2015,194
Denmark,2016,537
Denmark,2017,2054
Denmark,2018,2164
Ireland,1989,39
Ireland,1990,693
Ireland,1991,719
Ireland,1992,38
Ireland,1993,250
Ireland,1994,9
Ireland,1995,5
Ireland,1996,0
Ireland,1997,6
Ireland,1998,161
Ireland,1999,360
Ireland,2000,264
Ireland,2001,21
Ireland,2002,280
Ireland,2003,983
Ireland,2004,318
Ireland,2005,645
Ireland,2006,772
Ireland,2007,372
Ireland,2008,341
Ireland,2009,770
Ireland,2010,1596
Ireland,2011,710
Ireland,2012,837
Ireland,2013,862
Ireland,2014,606
Ireland,2015,515
Ireland,2016,603
Ireland,2017,569
Ireland,2018,483
New Zealand,1989,NA
New Zealand,1990,5
New Zealand,1991,NA
New Zealand,1992,18
New Zealand,1993,2
New Zealand,1994,8
New Zealand,1995,32
New Zealand,1996,197
New Zealand,1997,14
New Zealand,1998,17
New Zealand,1999,NA
New Zealand,2000,NA
New Zealand,2001,16
New Zealand,2002,139
New Zealand,2003,235
New Zealand,2004,5
New Zealand,2005,71
New Zealand,2006,211
New Zealand,2007,356
New Zealand,2008,579
New Zealand,2009,695
New Zealand,2010,650
New Zealand,2011,535
New Zealand,2012,579
New Zealand,2013,496
New Zealand,2014,458
New Zealand,2015,797
New Zealand,2016,1067
New Zealand,2017,1696
New Zealand,2018,545
Poland,1989,NA
Poland,1990,NA
Poland,1991,NA
Poland,1992,NA
Poland,1993,NA
Poland,1994,33
Poland,1995,NA
Poland,1996,NA
Poland,1997,NA
Poland,1998,NA
Poland,1999,25
Poland,2000,NA
Poland,2001,NA
Poland,2002,NA
Poland,2003,NA
Poland,2004,NA
Poland,2005,NA
Poland,2006,NA
Poland,2007,NA
Poland,2008,439
Poland,2009,2286
Poland,2010,1153
Poland,2011,76
Poland,2012,499
Poland,2013,480
Poland,2014,361
Poland,2015,130
Poland,2016,239
Poland,2017,345
Poland,2018,276
Netherlands,1989,4
Netherlands,1990,38
Netherlands,1991,76
Netherlands,1992,43
Netherlands,1993,NA
Netherlands,1994,1
Netherlands,1995,40
Netherlands,1996,161
Netherlands,1997,69
Netherlands,1998,133
Netherlands,1999,95
Netherlands,2000,37
Netherlands,2001,5
Netherlands,2002,16
Netherlands,2003,49
Netherlands,2004,7
Netherlands,2005,NA
Netherlands,2006,NA
Netherlands,2007,2
Netherlands,2008,NA
Netherlands,2009,NA
Netherlands,2010,47
Netherlands,2011,35
Netherlands,2012,36
Netherlands,2013,152
Netherlands,2014,46
Netherlands,2015,104
Netherlands,2016,190
Netherlands,2017,671
Netherlands,2018,2688
Australia,1989,NA
Australia,1990,29
Australia,1991,51
Australia,1992,92
Australia,1993,79
Australia,1994,248
Australia,1995,108
Australia,1996,30
Australia,1997,NA
Australia,1998,7
Australia,1999,15
Australia,2000,8
Australia,2001,44
Australia,2002,64
Australia,2003,NA
Australia,2004,3
Australia,2005,7
Australia,2006,5
Australia,2007,47
Australia,2008,92
Australia,2009,387
Australia,2010,102
Australia,2011,3
Australia,2012,NA
Australia,2013,NA
Australia,2014,NA
Australia,2015,0
Australia,2016,NA
Australia,2017,NA
Australia,2018,9
France,1989,NA
France,1990,NA
France,1991,4
France,1992,NA
France,1993,0
France,1994,NA
France,1995,NA
France,1996,NA
France,1997,1
France,1998,NA
France,1999,NA
France,2000,NA
France,2001,NA
France,2002,NA
France,2003,NA
France,2004,NA
France,2005,NA
France,2006,1
France,2007,NA
France,2008,2
France,2009,NA
France,2010,642
France,2011,222
France,2012,10
France,2013,NA
France,2014,NA
France,2015,NA
France,2016,NA
France,2017,NA
France,2018,NA
Argentina,1989,NA
Argentina,1990,NA
Argentina,1991,NA
Argentina,1992,NA
Argentina,1993,3
Argentina,1994,NA
Argentina,1995,1
Argentina,1996,77
Argentina,1997,117
Argentina,1998,NA
Argentina,1999,NA
Argentina,2000,10
Argentina,2001,5
Argentina,2002,2
Argentina,2003,NA
Argentina,2004,5
Argentina,2005,2
Argentina,2006,NA
Argentina,2007,7
Argentina,2008,53
Argentina,2009,98
Argentina,2010,139
Argentina,2011,NA
Argentina,2012,NA
Argentina,2013,NA
Argentina,2014,NA
Argentina,2015,NA
Argentina,2016,NA
Argentina,2017,NA
Argentina,2018,NA
Thailand,1989,NA
Thailand,1990,NA
Thailand,1991,5
Thailand,1992,NA
Thailand,1993,NA
Thailand,1994,0
Thailand,1995,NA
Thailand,1996,NA
Thailand,1997,NA
Thailand,1998,NA
Thailand,1999,NA
Thailand,2000,21
Thailand,2001,NA
Thailand,2002,NA
Thailand,2003,NA
Thailand,2004,49
Thailand,2005,NA
Thailand,2006,NA
Thailand,2007,36
Thailand,2008,NA
Thailand,2009,1
Thailand,2010,114
Thailand,2011,158
Thailand,2012,79
Thailand,2013,NA
Thailand,2014,NA
Thailand,2015,NA
Thailand,2016,NA
Thailand,2017,NA
Thailand,2018,NA
Cayman Islands,1989,NA
Cayman Islands,1990,NA
Cayman Islands,1991,NA
Cayman Islands,1992,NA
Cayman Islands,1993,NA
Cayman Islands,1994,NA
Cayman Islands,1995,NA
Cayman Islands,1996,NA
Cayman Islands,1997,410
Cayman Islands,1998,NA
Cayman Islands,1999,NA
Cayman Islands,2000,NA
Cayman Islands,2001,NA
Cayman Islands,2002,NA
Cayman Islands,2003,NA
Cayman Islands,2004,NA
Cayman Islands,2005,NA
Cayman Islands,2006,NA
Cayman Islands,2007,NA
Cayman Islands,2008,NA
Cayman Islands,2009,NA
Cayman Islands,2010,NA
Cayman Islands,2011,NA
Cayman Islands,2012,NA
Cayman Islands,2013,NA
Cayman Islands,2014,NA
Cayman Islands,2015,NA
Cayman Islands,2016,NA
Cayman Islands,2017,NA
Cayman Islands,2018,NA
Sweden,1989,NA
Sweden,1990,64
Sweden,1991,NA
Sweden,1992,NA
Sweden,1993,56
Sweden,1994,20
Sweden,1995,51
Sweden,1996,105
Sweden,1997,NA
Sweden,1998,NA
Sweden,1999,NA
Sweden,2000,NA
Sweden,2001,NA
Sweden,2002,NA
Sweden,2003,NA
Sweden,2004,NA
Sweden,2005,NA
Sweden,2006,NA
Sweden,2007,NA
Sweden,2008,NA
Sweden,2009,40
Sweden,2010,NA
Sweden,2011,NA
Sweden,2012,NA
Sweden,2013,1
Sweden,2014,8
Sweden,2015,NA
Sweden,2016,NA
Sweden,2017,2
Sweden,2018,NA
Lithuania,1989,NA
Lithuania,1990,NA
Lithuania,1991,NA
Lithuania,1992,NA
Lithuania,1993,NA
Lithuania,1994,NA
Lithuania,1995,NA
Lithuania,1996,NA
Lithuania,1997,NA
Lithuania,1998,NA
Lithuania,1999,NA
Lithuania,2000,NA
Lithuania,2001,NA
Lithuania,2002,NA
Lithuania,2003,NA
Lithuania,2004,NA
Lithuania,2005,NA
Lithuania,2006,NA
Lithuania,2007,NA
Lithuania,2008,NA
Lithuania,2009,NA
Lithuania,2010,279
Lithuania,2011,NA
Lithuania,2012,NA
Lithuania,2013,NA
Lithuania,2014,NA
Lithuania,2015,NA
Lithuania,2016,54
Lithuania,2017,NA
Lithuania,2018,NA
Japan,1989,NA
Japan,1990,NA
Japan,1991,NA
Japan,1992,NA
Japan,1993,NA
Japan,1994,NA
Japan,1995,42
Japan,1996,NA
Japan,1997,212
Japan,1998,26
Japan,1999,8
Japan,2000,5
Japan,2001,1
Japan,2002,NA
Japan,2003,NA
Japan,2004,NA
Japan,2005,1
Japan,2006,NA
Japan,2007,3
Japan,2008,1
Japan,2009,1
Japan,2010,1
Japan,2011,NA
Japan,2012,NA
Japan,2013,NA
Japan,2014,NA
Japan,2015,NA
Japan,2016,NA
Japan,2017,6
Japan,2018,1
Costa Rica,1989,NA
Costa Rica,1990,NA
Costa Rica,1991,NA
Costa Rica,1992,38
Costa Rica,1993,37
Costa Rica,1994,3
Costa Rica,1995,13
Costa Rica,1996,25
Costa Rica,1997,2
Costa Rica,1998,NA
Costa Rica,1999,6
Costa Rica,2000,2
Costa Rica,2001,9
Costa Rica,2002,6
Costa Rica,2003,19
Costa Rica,2004,15
Costa Rica,2005,NA
Costa Rica,2006,6
Costa Rica,2007,2
Costa Rica,2008,NA
Costa Rica,2009,2
Costa Rica,2010,NA
Costa Rica,2011,12
Costa Rica,2012,11
Costa Rica,2013,NA
Costa Rica,2014,NA
Costa Rica,2015,8
Costa Rica,2016,4
Costa Rica,2017,NA
Costa Rica,2018,NA
Ecuador,1989,NA
Ecuador,1990,NA
Ecuador,1991,7
Ecuador,1992,NA
Ecuador,1993,13
Ecuador,1994,10
Ecuador,1995,2
Ecuador,1996,4
Ecuador,1997,29
Ecuador,1998,1
Ecuador,1999,17
Ecuador,2000,NA
Ecuador,2001,NA
Ecuador,2002,4
Ecuador,2003,29
Ecuador,2004,13
Ecuador,2005,4
Ecuador,2006,2
Ecuador,2007,3
Ecuador,2008,NA
Ecuador,2009,14
Ecuador,2010,NA
Ecuador,2011,12
Ecuador,2012,13
Ecuador,2013,18
Ecuador,2014,NA
Ecuador,2015,6
Ecuador,2016,NA
Ecuador,2017,NA
Ecuador,2018,NA
Russia,1989,NA
Russia,1990,NA
Russia,1991,NA
Russia,1992,NA
Russia,1993,NA
Russia,1994,NA
Russia,1995,NA
Russia,1996,NA
Russia,1997,NA
Russia,1998,NA
Russia,1999,49
Russia,2000,54
Russia,2001,NA
Russia,2002,NA
Russia,2003,NA
Russia,2004,NA
Russia,2005,NA
Russia,2006,NA
Russia,2007,NA
Russia,2008,NA
Russia,2009,NA
Russia,2010,30
Russia,2011,NA
Russia,2012,NA
Russia,2013,NA
Russia,2014,NA
Russia,2015,NA
Russia,2016,NA
Russia,2017,NA
Russia,2018,NA
Venezuela,1989,NA
Venezuela,1990,NA
Venezuela,1991,NA
Venezuela,1992,2
Venezuela,1993,NA
Venezuela,1994,NA
Venezuela,1995,NA
Venezuela,1996,99
Venezuela,1997,NA
Venezuela,1998,NA
Venezuela,1999,NA
Venezuela,2000,NA
Venezuela,2001,NA
Venezuela,2002,NA
Venezuela,2003,NA
Venezuela,2004,NA
Venezuela,2005,NA
Venezuela,2006,NA
Venezuela,2007,NA
Venezuela,2008,NA
Venezuela,2009,NA
Venezuela,2010,NA
Venezuela,2011,NA
Venezuela,2012,NA
Venezuela,2013,NA
Venezuela,2014,NA
Venezuela,2015,2
Venezuela,2016,NA
Venezuela,2017,NA
Venezuela,2018,NA
Colombia,1989,NA
Colombia,1990,NA
Colombia,1991,10
Colombia,1992,NA
Colombia,1993,NA
Colombia,1994,NA
Colombia,1995,49
Colombia,1996,13
Colombia,1997,12
Colombia,1998,0
Colombia,1999,NA
Colombia,2000,NA
Colombia,2001,NA
Colombia,2002,NA
Colombia,2003,1
Colombia,2004,NA
Colombia,2005,NA
Colombia,2006,1
Colombia,2007,NA
Colombia,2008,NA
Colombia,2009,NA
Colombia,2010,NA
Colombia,2011,NA
Colombia,2012,3
Colombia,2013,NA
Colombia,2014,5
Colombia,2015,NA
Colombia,2016,NA
Colombia,2017,NA
Colombia,2018,1
Belgium,1989,NA
Belgium,1990,7
Belgium,1991,NA
Belgium,1992,NA
Belgium,1993,NA
Belgium,1994,NA
Belgium,1995,NA
Belgium,1996,NA
Belgium,1997,NA
Belgium,1998,38
Belgium,1999,41
Belgium,2000,NA
Belgium,2001,NA
Belgium,2002,NA
Belgium,2003,NA
Belgium,2004,NA
Belgium,2005,NA
Belgium,2006,NA
Belgium,2007,NA
Belgium,2008,NA
Belgium,2009,NA
Belgium,2010,NA
Belgium,2011,NA
Belgium,2012,NA
Belgium,2013,NA
Belgium,2014,NA
Belgium,2015,NA
Belgium,2016,NA
Belgium,2017,NA
Belgium,2018,NA
Peru,1989,NA
Peru,1990,NA
Peru,1991,NA
Peru,1992,NA
Peru,1993,NA
Peru,1994,NA
Peru,1995,NA
Peru,1996,NA
Peru,1997,NA
Peru,1998,NA
Peru,1999,44
Peru,2000,NA
Peru,2001,NA
Peru,2002,NA
Peru,2003,NA
Peru,2004,NA
Peru,2005,NA
Peru,2006,NA
Peru,2007,NA
Peru,2008,NA
Peru,2009,NA
Peru,2010,NA
Peru,2011,NA
Peru,2012,NA
Peru,2013,NA
Peru,2014,NA
Peru,2015,7
Peru,2016,NA
Peru,2017,NA
Peru,2018,NA
Trinidad and Tobago,1989,NA
Trinidad and Tobago,1990,NA
Trinidad and Tobago,1991,NA
Trinidad and Tobago,1992,NA
Trinidad and Tobago,1993,NA
Trinidad and Tobago,1994,NA
Trinidad and Tobago,1995,1
Trinidad and Tobago,1996,43
Trinidad and Tobago,1997,NA
Trinidad and Tobago,1998,NA
Trinidad and Tobago,1999,NA
Trinidad and Tobago,2000,NA
Trinidad and Tobago,2001,NA
Trinidad and Tobago,2002,NA
Trinidad and Tobago,2003,NA
Trinidad and Tobago,2004,3
Trinidad and Tobago,2005,NA
Trinidad and Tobago,2006,NA
Trinidad and Tobago,2007,NA
Trinidad and Tobago,2008,NA
Trinidad and Tobago,2009,NA
Trinidad and Tobago,2010,NA
Trinidad and Tobago,2011,NA
Trinidad and Tobago,2012,NA
Trinidad and Tobago,2013,2
Trinidad and Tobago,2014,1
Trinidad and Tobago,2015,NA
Trinidad and Tobago,2016,NA
Trinidad and Tobago,2017,NA
Trinidad and Tobago,2018,NA
Mexico,1989,NA
Mexico,1990,NA
Mexico,1991,NA
Mexico,1992,NA
Mexico,1993,NA
Mexico,1994,NA
Mexico,1995,NA
Mexico,1996,NA
Mexico,1997,8
Mexico,1998,36
Mexico,1999,2
Mexico,2000,1
Mexico,2001,0
Mexico,2002,1
Mexico,2003,NA
Mexico,2004,NA
Mexico,2005,NA
Mexico,2006,NA
Mexico,2007,NA
Mexico,2008,NA
Mexico,2009,NA
Mexico,2010,NA
Mexico,2011,NA
Mexico,2012,0
Mexico,2013,1
Mexico,2014,NA
Mexico,2015,NA
Mexico,2016,NA
Mexico,2017,NA
Mexico,2018,NA
Greece,1989,NA
Greece,1990,NA
Greece,1991,NA
Greece,1992,NA
Greece,1993,NA
Greece,1994,NA
Greece,1995,NA
Greece,1996,NA
Greece,1997,NA
Greece,1998,33
Greece,1999,7
Greece,2000,NA
Greece,2001,NA
Greece,2002,NA
Greece,2003,NA
Greece,2004,2
Greece,2005,NA
Greece,2006,NA
Greece,2007,NA
Greece,2008,NA
Greece,2009,NA
Greece,2010,NA
Greece,2011,NA
Greece,2012,7
Greece,2013,NA
Greece,2014,NA
Greece,2015,NA
Greece,2016,NA
Greece,2017,NA
Greece,2018,NA
Republic of South Africa,1989,NA
Republic of South Africa,1990,NA
Republic of South Africa,1991,NA
Republic of South Africa,1992,NA
Republic of South Africa,1993,NA
Republic of South Africa,1994,NA
Republic of South Africa,1995,NA
Republic of South Africa,1996,NA
Republic of South Africa,1997,NA
Republic of South Africa,1998,NA
Republic of South Africa,1999,NA
Republic of South Africa,2000,43
Republic of South Africa,2001,NA
Republic of South Africa,2002,5
Republic of South Africa,2003,NA
Republic of South Africa,2004,NA
Republic of South Africa,2005,NA
Republic of South Africa,2006,NA
Republic of South Africa,2007,NA
Republic of South Africa,2008,NA
Republic of South Africa,2009,NA
Republic of South Africa,2010,NA
Republic of South Africa,2011,NA
Republic of South Africa,2012,NA
Republic of South Africa,2013,NA
Republic of South Africa,2014,NA
Republic of South Africa,2015,NA
Republic of South Africa,2016,NA
Republic of South Africa,2017,NA
Republic of South Africa,2018,NA
Hong Kong,1989,NA
Hong Kong,1990,NA
Hong Kong,1991,NA
Hong Kong,1992,NA
Hong Kong,1993,NA
Hong Kong,1994,NA
Hong Kong,1995,NA
Hong Kong,1996,NA
Hong Kong,1997,NA
Hong Kong,1998,NA
Hong Kong,1999,NA
Hong Kong,2000,NA
Hong Kong,2001,NA
Hong Kong,2002,NA
Hong Kong,2003,NA
Hong Kong,2004,NA
Hong Kong,2005,NA
Hong Kong,2006,NA
Hong Kong,2007,NA
Hong Kong,2008,NA
Hong Kong,2009,NA
Hong Kong,2010,NA
Hong Kong,2011,48
Hong Kong,2012,NA
Hong Kong,2013,NA
Hong Kong,2014,NA
Hong Kong,2015,NA
Hong Kong,2016,NA
Hong Kong,2017,NA
Hong Kong,2018,NA
Namibia,1989,NA
Namibia,1990,NA
Namibia,1991,NA
Namibia,1992,NA
Namibia,1993,NA
Namibia,1994,NA
Namibia,1995,NA
Namibia,1996,NA
Namibia,1997,40
Namibia,1998,NA
Namibia,1999,NA
Namibia,2000,NA
Namibia,2001,NA
Namibia,2002,NA
Namibia,2003,NA
Namibia,2004,NA
Namibia,2005,NA
Namibia,2006,NA
Namibia,2007,NA
Namibia,2008,NA
Namibia,2009,NA
Namibia,2010,NA
Namibia,2011,NA
Namibia,2012,NA
Namibia,2013,NA
Namibia,2014,NA
Namibia,2015,NA
Namibia,2016,NA
Namibia,2017,NA
Namibia,2018,NA
South Korea,1989,NA
South Korea,1990,NA
South Korea,1991,NA
South Korea,1992,NA
South Korea,1993,NA
South Korea,1994,NA
South Korea,1995,NA
South Korea,1996,NA
South Korea,1997,NA
South Korea,1998,NA
South Korea,1999,NA
South Korea,2000,NA
South Korea,2001,NA
South Korea,2002,NA
South Korea,2003,NA
South Korea,2004,NA
South Korea,2005,NA
South Korea,2006,NA
South Korea,2007,NA
South Korea,2008,39
South Korea,2009,NA
South Korea,2010,NA
South Korea,2011,NA
South Korea,2012,NA
South Korea,2013,NA
South Korea,2014,NA
South Korea,2015,NA
South Korea,2016,NA
South Korea,2017,NA
South Korea,2018,NA
Vietnam,1989,NA
Vietnam,1990,NA
Vietnam,1991,NA
Vietnam,1992,NA
Vietnam,1993,NA
Vietnam,1994,NA
Vietnam,1995,NA
Vietnam,1996,NA
Vietnam,1997,NA
Vietnam,1998,NA
Vietnam,1999,1
Vietnam,2000,NA
Vietnam,2001,NA
Vietnam,2002,NA
Vietnam,2003,NA
Vietnam,2004,NA
Vietnam,2005,NA
Vietnam,2006,NA
Vietnam,2007,NA
Vietnam,2008,NA
Vietnam,2009,NA
Vietnam,2010,NA
Vietnam,2011,NA
Vietnam,2012,6
Vietnam,2013,4
Vietnam,2014,22
Vietnam,2015,NA
Vietnam,2016,NA
Vietnam,2017,NA
Vietnam,2018,NA
Italy,1989,NA
Italy,1990,NA
Italy,1991,NA
Italy,1992,NA
Italy,1993,NA
Italy,1994,NA
Italy,1995,NA
Italy,1996,NA
Italy,1997,18
Italy,1998,NA
Italy,1999,NA
Italy,2000,NA
Italy,2001,3
Italy,2002,NA
Italy,2003,NA
Italy,2004,NA
Italy,2005,NA
Italy,2006,NA
Italy,2007,NA
Italy,2008,NA
Italy,2009,NA
Italy,2010,NA
Italy,2011,NA
Italy,2012,NA
Italy,2013,NA
Italy,2014,NA
Italy,2015,6
Italy,2016,NA
Italy,2017,NA
Italy,2018,NA
Brazil,1989,NA
Brazil,1990,NA
Brazil,1991,NA
Brazil,1992,2
Brazil,1993,4
Brazil,1994,NA
Brazil,1995,NA
Brazil,1996,NA
Brazil,1997,NA
Brazil,1998,NA
Brazil,1999,NA
Brazil,2000,3
Brazil,2001,3
Brazil,2002,NA
Brazil,2003,4
Brazil,2004,NA
Brazil,2005,2
Brazil,2006,NA
Brazil,2007,NA
Brazil,2008,NA
Brazil,2009,NA
Brazil,2010,NA
Brazil,2011,NA
Brazil,2012,NA
Brazil,2013,NA
Brazil,2014,NA
Brazil,2015,7
Brazil,2016,NA
Brazil,2017,NA
Brazil,2018,NA
Vatican City,1989,NA
Vatican City,1990,NA
Vatican City,1991,NA
Vatican City,1992,NA
Vatican City,1993,24
Vatican City,1994,NA
Vatican City,1995,NA
Vatican City,1996,NA
Vatican City,1997,NA
Vatican City,1998,NA
Vatican City,1999,NA
Vatican City,2000,NA
Vatican City,2001,NA
Vatican City,2002,NA
Vatican City,2003,NA
Vatican City,2004,NA
Vatican City,2005,NA
Vatican City,2006,NA
Vatican City,2007,NA
Vatican City,2008,NA
Vatican City,2009,NA
Vatican City,2010,NA
Vatican City,2011,NA
Vatican City,2012,NA
Vatican City,2013,NA
Vatican City,2014,NA
Vatican City,2015,NA
Vatican City,2016,NA
Vatican City,2017,NA
Vatican City,2018,NA
Singapore,1989,NA
Singapore,1990,NA
Singapore,1991,NA
Singapore,1992,NA
Singapore,1993,NA
Singapore,1994,NA
Singapore,1995,NA
Singapore,1996,22
Singapore,1997,NA
Singapore,1998,NA
Singapore,1999,NA
Singapore,2000,NA
Singapore,2001,NA
Singapore,2002,NA
Singapore,2003,NA
Singapore,2004,NA
Singapore,2005,NA
Singapore,2006,NA
Singapore,2007,NA
Singapore,2008,NA
Singapore,2009,NA
Singapore,2010,NA
Singapore,2011,NA
Singapore,2012,NA
Singapore,2013,NA
Singapore,2014,NA
Singapore,2015,NA
Singapore,2016,NA
Singapore,2017,NA
Singapore,2018,NA
Bermuda,1989,NA
Bermuda,1990,15
Bermuda,1991,NA
Bermuda,1992,NA
Bermuda,1993,NA
Bermuda,1994,NA
Bermuda,1995,NA
Bermuda,1996,NA
Bermuda,1997,NA
Bermuda,1998,NA
Bermuda,1999,NA
Bermuda,2000,NA
Bermuda,2001,NA
Bermuda,2002,NA
Bermuda,2003,NA
Bermuda,2004,NA
Bermuda,2005,NA
Bermuda,2006,NA
Bermuda,2007,NA
Bermuda,2008,NA
Bermuda,2009,NA
Bermuda,2010,NA
Bermuda,2011,NA
Bermuda,2012,NA
Bermuda,2013,NA
Bermuda,2014,NA
